EmployeeID,Gender,Age,Dept,JobTitle,Tenure,YearsInCurrentRole,YearsSinceLastPromotion,Education,Location,Country,Salary,LastRating,ManagerID,Attrition,PerformanceText,CompaRatio,HireSource,HireDate,InterviewScore,InterviewScore_Technical,InterviewScore_Cultural,InterviewScore_Curiosity,AssessmentScore,PriorExperienceYears,JobLevel,PromotionCount,LastPromotionDate,ManagerChangeCount,Age_Group,InterviewScore_Communication,InterviewScore_Leadership,eNPS_Score,Pulse_Score,ManagerSatisfaction,WorkLifeBalance,CareerGrowthSatisfaction,Onboarding_30d,Onboarding_60d,Onboarding_90d
EMP0011,Non-Binary,45,Engineering,Senior Engineer,6.66,4.93,1.1,Master,Singapore,Singapore,130219,3.0,MGR026,0,Performance needs improvement in several areas. Technical skills require development. Recommended for coaching and training. Strong in system design. Adapting well to new role.,0.96,Internal,2019-05-21,3.4,2.3,2.5,4.8,78.3,16.3,3,2,2024-12-09,4,40-49,4.2,3.7,5,3.9,1.2,1.1,3.3,,,
EMP0012,Male,29,Engineering,Engineer,2.97,0.07,0.0,Master,Berlin,Germany,102740,4.1,MGR030,0,Consistent contributor who meets job requirements. Technical skills are adequate. Shows potential for development. Strong in DevOps.,1.1,Referral,2023-01-26,4.4,3.5,3.6,4.1,77.0,4.0,2,0,,1,20-29,2.1,3.8,10,4.2,3.7,3.6,3.3,,,
EMP0013,Female,38,Engineering,Senior Engineer,7.27,0.11,1.0,Master,Singapore,Singapore,127080,2.8,MGR050,0,Inconsistent performance requiring attention. Quality of work needs enhancement. Would benefit from clearer goal setting. Strong in system design.,0.94,Referral,2018-10-10,2.5,4.1,3.9,4.6,84.1,8.7,3,1,2025-01-14,4,30-39,4.9,3.6,4,4.0,4.2,3.7,5.0,,,
EMP0014,Female,29,Sales,Sales Manager,8.82,1.03,0.8,Master,London,United Kingdom,129386,4.2,MGR017,0,Solid performer meeting expectations. Good technical foundation with room for growth. Reliable and consistent in delivery. Strong in CRM expertise. Valuable institutional knowledge.,0.99,Website,2017-03-23,4.6,3.1,4.9,4.0,69.0,0.0,4,3,2025-03-28,1,20-29,3.9,3.3,2,3.4,3.2,3.1,1.9,,,
EMP0015,Non-Binary,49,HR,HR Business Partner,5.81,2.59,0.3,Bachelor,São Paulo,Brazil,72049,3.5,MGR040,0,Consistent contributor who meets job requirements. Technical skills are adequate. Shows potential for development. Strong in performance management.,1.07,Internal,2020-03-26,3.5,4.4,4.8,5.0,85.2,21.2,3,1,2025-09-27,3,40-49,2.3,4.3,5,3.8,2.0,1.3,2.3,,,
EMP0016,Female,47,Sales,Sales Manager,7.44,1.13,6.6,High School,Manchester,United Kingdom,137660,2.6,MGR049,0,Performance gap identified in multiple areas. Needs to improve engagement and initiative. Technical training recommended. Strong in client relations.,1.05,Internal,2018-08-09,3.0,4.8,4.8,2.8,81.7,17.6,4,3,2019-06-11,0,40-49,3.6,3.9,0,3.5,3.3,1.3,4.6,,,
EMP0017,Male,33,Engineering,Engineer,2.3,2.3,0.0,Bachelor,Vancouver,Canada,105067,2.5,MGR028,1,Below expectations in key areas. Communication could be more effective. Close monitoring advised. Strong in Python.,0.93,Campus,2023-09-28,3.3,4.1,2.5,4.7,89.4,8.7,2,0,,1,30-39,3.2,3.7,8,2.7,4.7,1.3,4.5,,,
EMP0018,Non-Binary,44,Engineering,Junior Engineer,1.06,0.06,0.0,Bachelor,Melbourne,Australia,86600,3.8,MGR013,0,Meets expectations with occasional exceeding. Shows good collaboration with team. Technical skills are developing well. Strong in code review. Adapting well to new role.,1.02,JobBoard,2024-12-24,3.8,4.2,4.7,3.8,83.6,20.9,1,0,,1,40-49,4.5,2.7,8,1.5,4.8,1.3,3.4,,,
EMP0019,Male,22,Engineering,Senior Engineer,7.56,3.14,1.8,Bachelor,Austin,United States,150609,3.6,MGR044,0,Reliable employee with satisfactory performance. Good attention to detail. Positive attitude toward learning. Strong in code review.,1.0,Agency,2018-06-26,4.4,2.6,2.4,2.0,61.0,0.0,3,2,2024-03-28,1,20-29,3.9,3.7,2,4.6,2.4,3.2,3.1,,,
EMP0020,Male,22,Marketing,CMO,9.39,0.21,1.0,Master,Melbourne,Australia,190967,4.4,MGR047,0,Meets expectations with occasional exceeding. Shows good collaboration with team. Technical skills are developing well. Strong in brand development.,1.0,Agency,2016-08-27,3.7,3.5,4.9,3.8,53.4,0.0,6,5,2025-01-14,4,20-29,2.5,2.8,5,1.4,1.5,1.5,2.8,,,
EMP0021,Male,50,Engineering,Staff Engineer,6.57,3.87,1.9,Bachelor,London,United Kingdom,134607,4.2,MGR015,0,Meets expectations with occasional exceeding. Shows good collaboration with team. Technical skills are developing well. Strong in system design.,1.03,Agency,2019-06-22,3.9,4.1,4.7,3.5,71.9,21.4,4,2,2024-02-21,4,50-59,4.6,3.1,2,2.0,2.1,3.1,2.5,,,
EMP0022,Male,22,Engineering,Engineer,3.91,2.05,1.7,Bachelor,São Paulo,Brazil,54619,3.3,MGR022,0,Performance needs improvement in several areas. Technical skills require development. Recommended for coaching and training. Strong in API development. Adapting well to new role.,0.97,Agency,2022-02-17,4.4,3.1,5.0,3.8,54.2,0.0,2,1,2024-05-04,4,20-29,2.5,2.7,3,4.4,1.4,3.3,4.2,,,
EMP0023,Male,35,Engineering,VP Engineering,7.84,1.01,2.2,PhD,São Paulo,Brazil,93393,3.8,MGR006,0,Reliable employee with satisfactory performance. Good attention to detail. Positive attitude toward learning. Strong in cloud architecture.,0.92,Website,2018-03-16,3.8,2.6,4.9,4.1,52.0,5.2,6,4,2023-11-03,3,30-39,2.7,2.3,9,4.1,1.3,4.9,3.0,,,
EMP0024,Male,33,HR,HR Coordinator,1.19,0.19,0.0,Bachelor,Singapore,Singapore,98819,4.3,MGR037,0,Reliable employee with satisfactory performance. Good attention to detail. Positive attitude toward learning. Strong in performance management. Valuable institutional knowledge.,1.1,Internal,2024-11-06,4.0,4.2,3.2,4.8,99.5,9.8,1,0,,1,30-39,2.5,2.2,7,3.9,1.2,1.0,4.1,,,
EMP0025,Male,31,Marketing,Senior Marketing Manager,5.63,0.9,0.9,Bachelor,Paris,France,126547,1.7,MGR025,0,Inconsistent performance requiring attention. Quality of work needs enhancement. Would benefit from clearer goal setting. Strong in content strategy.,1.03,LinkedIn,2020-05-31,1.9,3.1,3.2,3.6,44.0,3.4,4,2,2025-02-20,2,30-39,3.6,3.3,2,3.5,2.3,3.7,1.6,,,
EMP0026,Non-Binary,38,Marketing,Senior Marketing Manager,9.67,3.14,0.2,Bachelor,Austin,United States,182244,3.1,MGR002,0,Below expectations in key areas. Communication could be more effective. Close monitoring advised. Strong in brand development.,1.04,JobBoard,2016-05-17,3.3,4.4,2.4,2.7,83.3,6.3,4,3,2025-11-02,1,30-39,2.0,3.8,3,3.2,2.0,4.0,2.4,,,
EMP0027,Male,22,Engineering,Principal Engineer,10.99,1.35,1.7,Master,Vancouver,Canada,167520,3.6,MGR047,0,Meets expectations with occasional exceeding. Shows good collaboration with team. Technical skills are developing well. Strong in JavaScript.,0.93,Website,2015-01-21,4.9,3.1,2.2,2.2,46.3,0.0,5,3,2024-05-04,0,20-29,4.8,3.4,4,4.9,4.4,3.9,1.5,,,
EMP0028,Male,39,HR,HR Business Partner,2.28,2.28,0.9,Master,Berlin,Germany,105875,3.9,MGR025,0,Solid performer meeting expectations. Good technical foundation with room for growth. Reliable and consistent in delivery. Strong in performance management. Valuable institutional knowledge.,0.94,Internal,2023-10-05,4.6,2.5,3.5,3.3,94.9,14.7,3,2,2025-02-20,0,30-39,4.3,2.8,9,1.1,3.7,4.5,1.7,,,
EMP0029,Non-Binary,28,Operations,Operations Manager,4.67,0.95,0.1,Bachelor,Austin,United States,152861,3.5,MGR019,0,Meets expectations with occasional exceeding. Shows good collaboration with team. Technical skills are developing well. Strong in vendor management.,1.02,JobBoard,2021-05-16,3.5,3.6,3.6,3.4,69.8,1.3,3,2,2025-12-09,2,20-29,2.5,2.5,6,4.8,2.5,2.4,2.1,,,
EMP0030,Female,32,Customer Success,CS Specialist,5.55,1.59,2.6,Master,Chicago,United States,117402,5.0,MGR037,0,Outstanding contributor with excellent problem-solving abilities. Shows initiative and drives innovation. Strong communication skills and mentorship qualities. Strong in renewal negotiation. Adapting well to new role. Valuable institutional knowledge.,0.94,Internal,2020-06-29,5.0,2.6,2.9,4.7,40.8,4.5,2,1,2023-06-10,0,30-39,2.6,2.1,2,3.3,2.7,1.7,4.6,,,
EMP0031,Female,29,Marketing,Marketing Specialist,0.68,0.68,0.0,Associate,Mumbai,India,51241,4.5,MGR044,0,Star performer with outstanding technical and interpersonal skills. Proactive in identifying improvements. Key contributor to team success. Strong in analytics. Adapting well to new role.,1.02,LinkedIn,2025-05-11,3.4,3.5,3.5,4.2,81.9,6.3,2,0,,0,20-29,2.8,2.4,10,2.7,1.5,1.9,4.6,,,
EMP0032,Male,36,Customer Success,CS Manager,3.04,0.46,1.8,Master,Paris,France,108179,3.1,MGR021,1,Performance needs improvement in several areas. Technical skills require development. Recommended for coaching and training. Strong in relationship building. Valuable institutional knowledge.,1.03,Referral,2023-01-01,3.4,3.2,4.3,3.3,61.2,11.0,3,2,2024-03-28,2,30-39,2.6,2.3,2,2.0,2.6,2.1,2.2,,,
EMP0033,Male,39,Sales,Senior AE,1.49,1.49,1.4,Bachelor,Chicago,United States,163104,2.8,MGR020,1,Inconsistent performance requiring attention. Quality of work needs enhancement. Would benefit from clearer goal setting. Strong in closing deals.,1.09,LinkedIn,2024-07-20,3.2,3.1,3.2,4.1,75.9,15.5,3,2,2024-08-22,0,30-39,2.7,4.5,4,1.0,4.9,1.6,1.0,,,
EMP0034,Female,24,Engineering,Staff Engineer,6.05,3.51,0.5,PhD,Paris,France,128189,3.9,MGR006,0,Solid performer meeting expectations. Good technical foundation with room for growth. Reliable and consistent in delivery. Strong in system design.,1.05,JobBoard,2019-12-29,4.4,5.0,3.7,3.4,58.8,0.0,4,2,2025-07-16,4,20-29,4.2,2.6,7,4.9,4.8,4.9,2.9,,,
EMP0035,Male,42,Finance,Finance Manager,3.97,2.44,3.1,Bachelor,Sydney,Australia,120615,2.7,MGR044,0,Inconsistent performance requiring attention. Quality of work needs enhancement. Would benefit from clearer goal setting. Strong in financial modeling. Adapting well to new role.,0.95,Internal,2022-01-26,3.3,3.3,3.4,5.0,40.0,16.0,3,1,2022-12-10,4,40-49,3.6,4.8,2,1.3,1.0,3.3,1.2,,,
EMP0036,Male,55,Engineering,Engineer,2.2,0.66,0.0,Master,Paris,France,80354,3.7,MGR049,0,Consistent contributor who meets job requirements. Technical skills are adequate. Shows potential for development. Strong in API development.,0.92,Campus,2023-11-03,2.7,5.0,3.3,3.2,80.8,30.8,2,0,,3,50-59,4.9,4.4,4,1.4,2.7,1.4,4.5,,,
EMP0037,Male,34,HR,HR Manager,6.61,2.42,6.6,Master,London,United Kingdom,124177,3.4,MGR003,1,Below expectations in key areas. Communication could be more effective. Close monitoring advised. Strong in training. Adapting well to new role.,0.95,Referral,2019-06-08,3.1,3.5,3.5,5.0,93.8,5.4,4,2,2019-06-11,2,30-39,2.7,2.7,8,3.4,3.3,4.3,1.4,,,
EMP0038,Male,33,Finance,Senior Finance Manager,2.98,0.7,2.4,High School,Singapore,Singapore,142865,3.9,MGR034,0,Consistent contributor who meets job requirements. Technical skills are adequate. Shows potential for development. Strong in compliance.,0.91,Campus,2023-01-23,3.8,5.0,2.2,4.6,71.0,8.0,4,2,2023-08-22,2,30-39,4.5,3.0,1,3.2,4.5,2.6,3.9,,,
EMP0039,Male,29,Sales,Account Executive,2.55,0.04,0.0,Master,Tokyo,Japan,94773,2.8,MGR045,0,Performance needs improvement in several areas. Technical skills require development. Recommended for coaching and training. Strong in pipeline management. Adapting well to new role.,0.95,Campus,2023-06-29,3.1,2.8,2.6,2.3,59.6,4.5,2,1,2026-01-14,0,20-29,3.9,2.8,7,4.3,1.5,4.5,2.1,,,
EMP0040,Female,34,Engineering,Principal Engineer,8.56,2.21,1.7,Bachelor,São Paulo,Brazil,82845,3.6,MGR027,1,Consistent contributor who meets job requirements. Technical skills are adequate. Shows potential for development. Strong in cloud architecture. Adapting well to new role. Valuable institutional knowledge.,0.92,JobBoard,2017-06-26,3.8,4.9,4.2,2.4,85.5,3.4,5,4,2024-05-04,4,30-39,2.1,3.0,2,2.0,1.0,1.7,1.6,,,
EMP0041,Male,45,Sales,Sales Manager,6.72,1.97,1.1,Master,Mumbai,India,73819,3.1,MGR044,0,Inconsistent performance requiring attention. Quality of work needs enhancement. Would benefit from clearer goal setting. Strong in negotiation. Valuable institutional knowledge.,1.05,LinkedIn,2019-04-29,2.9,3.0,4.2,4.2,52.0,16.3,4,3,2024-12-09,0,40-49,4.0,3.1,10,4.9,1.7,1.1,4.5,,,
EMP0042,Non-Binary,39,Product,Associate PM,1.49,0.1,0.0,Bachelor,Manchester,United Kingdom,74431,2.4,MGR048,0,Inconsistent performance requiring attention. Quality of work needs enhancement. Would benefit from clearer goal setting. Strong in stakeholder management. Adapting well to new role.,0.99,Campus,2024-07-20,2.7,2.2,3.2,3.4,76.0,15.5,1,0,,2,30-39,4.1,4.6,5,4.6,3.9,3.0,4.0,,,
EMP0043,Female,32,Engineering,Engineer,3.6,0.12,0.0,Bachelor,São Paulo,Brazil,54517,3.6,MGR030,0,Consistent contributor who meets job requirements. Technical skills are adequate. Shows potential for development. Strong in code review.,0.97,JobBoard,2022-06-10,3.2,2.6,2.5,2.3,78.2,6.4,2,0,,2,30-39,4.7,3.8,8,1.2,3.2,1.1,3.8,,,
EMP0044,Female,30,Finance,Financial Analyst,4.18,0.27,0.0,Associate,Manchester,United Kingdom,80922,4.6,MGR003,0,Star performer with outstanding technical and interpersonal skills. Proactive in identifying improvements. Key contributor to team success. Strong in audit preparation.,1.08,Campus,2021-11-11,4.7,3.8,3.0,3.4,84.7,3.8,1,0,,4,30-39,4.4,4.0,2,1.6,1.1,1.2,3.6,,,
EMP0045,Male,35,Engineering,Senior Engineer,5.24,0.64,2.9,Bachelor,Tokyo,Japan,109732,4.4,MGR024,0,Consistent contributor who meets job requirements. Technical skills are adequate. Shows potential for development. Strong in Python.,0.91,Referral,2020-10-20,4.3,4.2,3.5,4.6,94.0,7.8,3,1,2023-02-21,1,30-39,5.0,2.9,2,3.5,3.5,2.7,3.9,,,
EMP0046,Female,48,Engineering,Engineer,0.42,0.42,0.0,Bachelor,Tokyo,Japan,100252,2.9,MGR047,0,Inconsistent performance requiring attention. Quality of work needs enhancement. Would benefit from clearer goal setting. Strong in Python. Valuable institutional knowledge.,1.0,Referral,2025-08-14,2.8,4.6,2.0,3.8,75.9,25.6,2,0,,3,40-49,4.9,3.4,10,4.5,2.8,3.4,2.3,3.9,4.3,3.3
EMP0047,Male,47,Sales,Sales Rep,3.7,0.89,0.0,Master,Tokyo,Japan,72586,4.2,MGR049,0,Meets expectations with occasional exceeding. Shows good collaboration with team. Technical skills are developing well. Strong in negotiation.,0.91,Referral,2022-05-05,4.8,2.4,2.7,2.2,78.4,21.3,1,0,,2,40-49,3.4,4.8,4,1.4,3.3,3.8,3.8,,,
EMP0048,Female,22,Sales,Account Executive,4.51,0.4,0.4,Master,Manchester,United Kingdom,94354,2.9,MGR008,1,Below expectations in key areas. Communication could be more effective. Close monitoring advised. Strong in pipeline management.,1.01,Referral,2021-07-13,3.2,3.9,4.6,3.7,41.8,0.0,2,1,2025-08-21,0,20-29,4.1,4.0,2,4.8,4.3,1.6,3.7,,,
EMP0049,Female,22,Customer Success,VP CS,11.36,0.59,1.2,PhD,Manchester,United Kingdom,177269,3.3,MGR034,0,Performance needs improvement in several areas. Technical skills require development. Recommended for coaching and training. Strong in account management.,1.05,LinkedIn,2014-09-08,3.0,2.4,3.6,2.0,59.5,0.0,6,4,2024-11-02,3,20-29,3.8,3.7,2,2.6,2.8,2.6,2.0,,,
EMP0050,Female,25,Sales,Sales Manager,7.12,0.63,0.3,Bachelor,Munich,Germany,131261,4.0,MGR028,0,Reliable employee with satisfactory performance. Good attention to detail. Positive attitude toward learning. Strong in CRM expertise.,1.0,JobBoard,2018-12-04,4.0,4.4,4.2,4.9,41.1,0.0,4,2,2025-09-27,2,20-29,2.0,3.9,8,3.6,2.5,1.1,1.8,,,
EMP0051,Male,34,Sales,Account Executive,1.6,0.77,1.1,Associate,Singapore,Singapore,108164,3.6,MGR036,0,Reliable employee with satisfactory performance. Good attention to detail. Positive attitude toward learning. Strong in CRM expertise.,0.96,JobBoard,2024-06-09,4.3,2.9,4.4,2.6,95.1,10.4,2,1,2024-12-09,3,30-39,3.5,4.4,0,2.5,3.1,3.9,1.4,,,
EMP0052,Female,55,Engineering,Senior Engineer,5.83,2.27,2.6,Master,Munich,Germany,105182,4.1,MGR049,0,Reliable employee with satisfactory performance. Good attention to detail. Positive attitude toward learning. Strong in system design. Adapting well to new role.,0.93,Referral,2020-03-19,4.0,3.4,3.8,2.5,84.2,27.2,3,1,2023-06-10,1,50-59,3.4,3.6,5,1.1,3.6,1.9,3.4,,,
EMP0053,Female,46,Sales,VP Sales,6.13,0.02,0.3,Associate,Toronto,Canada,187775,2.9,MGR039,0,Inconsistent performance requiring attention. Quality of work needs enhancement. Would benefit from clearer goal setting. Strong in pipeline management. Adapting well to new role.,0.93,Website,2019-11-30,3.7,2.3,4.7,2.6,59.4,17.9,6,4,2025-09-27,2,40-49,3.0,3.9,0,4.3,3.7,3.9,1.3,,,
EMP0054,Female,37,Customer Success,CS Specialist,5.17,1.3,0.0,PhD,Tokyo,Japan,96660,4.1,MGR030,0,Solid performer meeting expectations. Good technical foundation with room for growth. Reliable and consistent in delivery. Strong in relationship building.,0.97,Referral,2020-11-14,5.0,2.3,3.4,4.3,60.9,9.8,2,0,,3,30-39,4.9,3.4,6,2.6,1.6,2.3,5.0,,,
EMP0055,Male,29,HR,HR Manager,7.05,0.39,0.9,Associate,San Francisco,United States,187764,3.6,MGR014,0,Reliable employee with satisfactory performance. Good attention to detail. Positive attitude toward learning. Strong in talent acquisition.,1.07,Website,2018-12-29,4.8,2.8,4.8,4.6,49.7,0.0,4,3,2025-02-20,2,20-29,3.7,3.7,3,1.8,4.7,1.5,1.5,,,
EMP0056,Female,37,Marketing,Marketing Coordinator,6.0,0.64,0.0,Bachelor,Singapore,Singapore,84815,3.1,MGR027,1,Inconsistent performance requiring attention. Quality of work needs enhancement. Would benefit from clearer goal setting. Strong in content strategy.,0.94,LinkedIn,2020-01-16,3.6,4.8,3.5,3.8,85.9,9.0,1,0,,4,30-39,3.0,4.9,5,1.6,2.5,3.8,1.3,,,
EMP0057,Female,34,Engineering,Junior Engineer,1.86,1.58,0.0,Bachelor,São Paulo,Brazil,45848,4.1,MGR043,1,Solid performer meeting expectations. Good technical foundation with room for growth. Reliable and consistent in delivery. Strong in cloud architecture.,1.02,Internal,2024-03-07,3.9,5.0,2.2,4.1,99.0,10.1,1,0,,2,30-39,2.5,2.2,2,1.7,3.8,3.5,3.5,,,
EMP0058,Male,38,Customer Success,CS Manager,7.38,0.8,0.4,Bachelor,Tokyo,Japan,120648,2.7,MGR035,0,Performance needs improvement in several areas. Technical skills require development. Recommended for coaching and training. Strong in customer retention.,1.01,Internal,2018-08-31,2.6,2.8,4.3,2.4,72.1,8.6,3,1,2025-08-21,0,30-39,3.0,4.5,4,1.8,1.3,2.5,1.2,,,
EMP0059,Male,34,Sales,Sales Rep,6.44,0.75,0.0,Bachelor,Austin,United States,92543,3.2,MGR035,0,Inconsistent performance requiring attention. Quality of work needs enhancement. Would benefit from clearer goal setting. Strong in client relations.,0.93,LinkedIn,2019-08-09,3.5,4.8,4.4,2.2,56.8,5.6,1,0,,1,30-39,2.1,4.7,4,4.3,3.0,2.5,2.5,,,
EMP0060,Female,34,Sales,Sales Rep,3.95,0.11,0.0,Associate,Chicago,United States,109765,3.0,MGR023,1,Performance needs improvement in several areas. Technical skills require development. Recommended for coaching and training. Strong in client relations.,1.1,JobBoard,2022-02-03,3.0,2.9,3.0,4.3,79.7,8.1,1,0,,3,30-39,3.1,3.2,4,3.6,4.1,3.9,2.1,,,
EMP0061,Non-Binary,29,Engineering,Senior Engineer,6.42,0.06,0.8,Associate,Chicago,United States,135312,2.8,MGR025,1,Below expectations in key areas. Communication could be more effective. Close monitoring advised. Strong in system design.,0.9,JobBoard,2019-08-16,2.4,3.6,3.8,2.5,42.6,0.6,3,1,2025-03-28,0,20-29,4.8,2.7,8,2.5,3.2,3.1,2.6,,,
EMP0062,Female,36,Engineering,Junior Engineer,3.02,0.44,0.0,Bachelor,Bangalore,India,43939,2.5,MGR012,0,Inconsistent performance requiring attention. Quality of work needs enhancement. Would benefit from clearer goal setting. Strong in API development.,1.1,Website,2023-01-08,3.1,2.2,3.0,4.3,56.2,11.0,1,0,,3,30-39,2.1,2.5,4,3.9,4.3,4.7,1.9,,,
EMP0063,Female,27,Sales,Senior AE,1.45,0.93,1.4,Master,Tokyo,Japan,122686,3.6,MGR037,0,Reliable employee with satisfactory performance. Good attention to detail. Positive attitude toward learning. Strong in closing deals.,1.02,Referral,2024-08-03,3.2,4.0,2.9,4.2,88.9,3.5,3,1,2024-08-22,2,20-29,2.6,3.1,8,3.2,1.0,1.6,4.0,,,
EMP0064,Male,23,Engineering,Engineer,1.29,1.29,0.0,Master,New York,United States,134416,4.9,MGR035,0,Exceptional performer who consistently exceeds expectations. Demonstrates strong leadership and technical skills. Highly collaborative team player. Strong in system design.,1.08,LinkedIn,2024-10-01,4.7,3.2,3.2,4.6,70.6,0.0,2,0,,2,20-29,2.2,3.7,6,3.8,1.2,1.6,2.9,,,
EMP0065,Female,41,Customer Success,CS Representative,0.9,0.9,0.0,Associate,Singapore,Singapore,82053,4.4,MGR031,0,Reliable employee with satisfactory performance. Good attention to detail. Positive attitude toward learning. Strong in account management.,0.91,Website,2025-02-20,4.1,2.2,4.4,4.3,84.0,18.1,1,0,,4,40-49,2.5,3.9,3,4.1,1.5,4.3,2.6,,,
EMP0066,Male,37,Marketing,Marketing Manager,5.1,0.84,0.9,Bachelor,Sydney,Australia,129688,4.8,MGR019,0,Outstanding contributor with excellent problem-solving abilities. Shows initiative and drives innovation. Strong communication skills and mentorship qualities. Strong in content strategy. Valuable institutional knowledge.,1.02,Website,2020-12-10,5.0,2.4,2.2,4.2,69.8,9.9,3,2,2025-02-20,0,30-39,4.3,2.0,8,1.6,3.4,2.0,1.5,,,
EMP0067,Male,32,Product,Associate PM,1.96,1.96,0.0,Master,Tokyo,Japan,72580,2.7,MGR010,0,Inconsistent performance requiring attention. Quality of work needs enhancement. Would benefit from clearer goal setting. Strong in feature prioritization.,0.91,Agency,2024-01-30,2.2,2.2,4.7,2.4,71.9,8.0,1,0,,0,30-39,4.3,2.3,1,3.9,3.2,2.1,1.5,,,
EMP0068,Male,34,Finance,Finance Manager,3.79,0.55,1.9,Bachelor,Paris,France,115107,4.1,MGR024,0,Solid performer meeting expectations. Good technical foundation with room for growth. Reliable and consistent in delivery. Strong in financial modeling.,1.1,Referral,2022-04-02,3.5,2.3,4.1,3.6,98.8,8.2,3,2,2024-02-21,4,30-39,4.6,4.2,8,4.2,3.2,2.4,3.5,,,
