EmployeeID,Prep_Score,FirstWeek_Score,Manager_Support,Culture_Fit,Overall_Satisfaction,Comments,HireDate
EMP2032,4.0,3.3,4.5,4.0,4.0,Needs improvement,2023-11-01
EMP2033,4.4,3.1,3.2,4.4,3.8,Needs improvement,2023-11-01
EMP2034,3.1,3.1,3.0,4.9,3.6,Needs improvement,2023-11-01
EMP2035,4.5,3.7,3.6,3.7,3.9,Needs improvement,2023-11-01
EMP2036,4.5,4.3,3.4,3.3,3.9,Needs improvement,2023-11-01
EMP2037,3.2,4.3,4.5,3.5,3.9,Needs improvement,2023-11-01
EMP2038,3.0,3.2,4.9,3.6,3.7,Needs improvement,2023-11-01
EMP2039,4.5,4.2,3.8,3.4,4.0,Needs improvement,2023-11-01
EMP2040,3.2,4.2,4.5,4.3,4.1,Smooth process,2023-11-01
EMP2041,4.1,3.1,4.9,4.6,4.2,Smooth process,2023-11-01
EMP2042,3.6,5.0,4.2,4.2,4.2,Smooth process,2023-11-01
EMP2043,4.5,4.6,4.3,3.3,4.2,Smooth process,2023-11-01
EMP2044,3.7,4.9,3.4,3.7,3.9,Needs improvement,2023-11-01
EMP2045,3.9,3.9,4.2,4.9,4.2,Smooth process,2023-11-01
EMP2046,3.5,3.2,3.4,4.8,3.7,Needs improvement,2023-11-01
EMP2047,4.3,3.6,4.6,4.7,4.3,Smooth process,2023-11-01
EMP2048,4.7,4.8,3.5,4.5,4.4,Smooth process,2023-11-01
EMP2049,3.9,4.7,4.5,4.6,4.4,Smooth process,2023-11-01
EMP2050,4.3,3.4,4.1,5.0,4.2,Smooth process,2023-11-01
EMP2051,4.9,3.1,3.3,3.3,3.6,Needs improvement,2023-11-01
EMP2052,4.5,4.6,3.4,4.0,4.1,Smooth process,2023-11-01
EMP2053,4.7,4.5,4.1,4.2,4.4,Smooth process,2023-11-01
EMP2054,4.0,3.6,4.1,4.4,4.0,Smooth process,2023-11-01
EMP2055,4.7,4.3,4.5,3.3,4.2,Smooth process,2023-11-01
EMP2056,3.9,3.0,3.5,4.5,3.7,Needs improvement,2023-11-01
EMP2057,5.0,3.2,3.8,4.6,4.1,Smooth process,2023-11-01
EMP2058,3.4,4.1,4.5,4.2,4.1,Smooth process,2023-11-01
EMP2059,3.4,3.7,4.6,4.1,3.9,Needs improvement,2023-11-01
EMP2060,3.0,4.5,3.1,4.5,3.8,Needs improvement,2023-11-01
EMP2061,3.4,4.9,3.7,3.7,3.9,Needs improvement,2023-11-01
EMP2062,3.3,3.6,4.8,5.0,4.2,Smooth process,2023-11-01
EMP2063,3.7,3.9,4.4,4.8,4.2,Smooth process,2023-11-01
EMP2064,4.2,3.8,3.8,4.4,4.0,Smooth process,2023-11-01
EMP2065,3.0,4.2,3.7,4.6,3.9,Needs improvement,2023-11-01
EMP2066,3.2,4.2,4.0,4.3,3.9,Needs improvement,2023-11-01
EMP2067,3.1,4.2,4.1,4.1,3.9,Needs improvement,2023-11-01
EMP2068,4.2,4.4,4.6,3.5,4.2,Smooth process,2023-11-01
EMP2069,4.7,4.0,3.2,3.1,3.7,Needs improvement,2023-11-01
EMP2070,3.7,4.6,4.4,4.6,4.3,Smooth process,2023-11-01
EMP2071,4.0,3.9,3.3,3.7,3.7,Needs improvement,2023-11-01
EMP2072,3.9,3.2,3.4,4.2,3.7,Needs improvement,2023-11-01
EMP2073,4.5,5.0,4.9,4.3,4.7,Smooth process,2023-11-01
EMP2074,3.8,4.3,4.6,3.2,4.0,Needs improvement,2023-11-01
EMP2075,3.8,4.7,3.8,4.1,4.1,Smooth process,2023-11-01
EMP2076,4.2,3.4,3.7,3.7,3.7,Needs improvement,2023-11-01
EMP2077,3.1,3.0,4.7,3.5,3.6,Needs improvement,2023-11-01
EMP2078,4.0,3.6,4.9,3.5,4.0,Smooth process,2023-11-01
EMP2079,3.9,4.7,4.7,3.4,4.2,Smooth process,2023-11-01
EMP2080,4.6,3.9,4.0,3.3,3.9,Needs improvement,2023-11-01
EMP2081,3.2,4.5,4.0,3.9,3.9,Needs improvement,2023-11-01
EMP2082,4.5,4.5,3.3,4.2,4.1,Smooth process,2023-11-01
EMP2083,3.3,4.5,4.3,4.9,4.3,Smooth process,2023-11-01
EMP2084,3.1,3.1,3.6,3.5,3.3,Needs improvement,2023-11-01
EMP2085,3.5,4.8,3.5,3.5,3.8,Needs improvement,2023-11-01
EMP2086,4.5,3.9,4.6,3.1,4.0,Smooth process,2023-11-01
EMP2087,4.0,3.1,3.1,4.8,3.7,Needs improvement,2023-11-01
EMP2088,3.3,4.1,3.8,3.7,3.7,Needs improvement,2023-11-01
EMP2089,4.8,3.0,4.3,4.9,4.3,Smooth process,2023-11-01
EMP2090,4.1,4.9,3.1,3.8,4.0,Needs improvement,2023-11-01
EMP2091,3.5,4.5,5.0,3.5,4.1,Smooth process,2023-11-01
EMP2092,4.3,3.4,4.1,3.9,3.9,Needs improvement,2023-11-01
EMP2093,4.9,4.2,3.7,3.2,4.0,Smooth process,2023-11-01
EMP2094,3.3,3.5,3.5,4.7,3.7,Needs improvement,2023-11-01
EMP2095,4.1,4.0,3.2,4.7,4.0,Smooth process,2023-11-01
EMP2096,4.4,3.1,4.4,4.1,4.0,Smooth process,2023-11-01
EMP2097,3.2,3.9,4.0,3.3,3.6,Needs improvement,2023-11-01
EMP2098,4.9,4.7,4.3,3.9,4.5,Smooth process,2023-11-01
EMP2099,3.8,4.3,4.1,3.1,3.8,Needs improvement,2023-11-01
EMP2100,4.0,4.6,3.9,3.1,3.9,Needs improvement,2023-11-01
EMP2101,4.6,3.4,3.5,3.3,3.7,Needs improvement,2023-11-01
EMP2102,3.7,4.5,4.0,3.4,3.9,Needs improvement,2023-11-01
EMP2103,4.8,4.8,4.7,3.5,4.4,Smooth process,2023-11-01
EMP2104,3.9,5.0,4.5,3.1,4.1,Smooth process,2023-11-01
EMP2105,3.1,3.9,4.8,4.1,4.0,Needs improvement,2023-11-01
EMP2106,4.0,3.2,4.3,4.6,4.0,Smooth process,2023-11-01
EMP2107,3.8,4.6,4.9,3.4,4.2,Smooth process,2023-11-01
EMP2108,4.0,3.6,4.6,4.2,4.1,Smooth process,2023-11-01
EMP2109,4.3,4.6,3.8,4.8,4.4,Smooth process,2023-11-01
EMP2110,4.1,3.3,4.4,4.6,4.1,Smooth process,2023-11-01
EMP2111,3.6,4.7,4.8,3.6,4.2,Smooth process,2023-11-01
EMP2112,5.0,3.3,3.4,3.4,3.8,Needs improvement,2023-11-01
EMP2113,4.8,4.3,3.3,3.9,4.1,Smooth process,2023-11-01
EMP2114,4.2,3.2,4.8,4.6,4.2,Smooth process,2023-11-01
EMP2115,4.0,4.9,3.8,5.0,4.4,Smooth process,2023-11-01
EMP2116,4.3,4.3,3.3,4.8,4.2,Smooth process,2023-11-01
EMP2117,3.9,3.3,3.0,4.1,3.6,Needs improvement,2023-11-01
EMP2118,4.1,4.4,4.8,3.2,4.1,Smooth process,2023-11-01
EMP2119,4.5,3.4,4.7,4.6,4.3,Smooth process,2023-11-01
EMP2120,4.1,4.4,3.6,3.9,4.0,Smooth process,2023-11-01
EMP2121,4.6,3.9,3.7,4.0,4.1,Smooth process,2023-11-01
EMP2122,4.7,3.7,3.3,4.4,4.0,Smooth process,2023-11-01
EMP2123,4.7,3.2,3.5,3.3,3.7,Needs improvement,2023-11-01
EMP2124,3.7,3.9,4.5,4.3,4.1,Smooth process,2023-11-01
EMP2125,4.2,3.7,4.7,3.9,4.1,Smooth process,2023-11-01
EMP2126,5.0,4.3,3.3,4.4,4.2,Smooth process,2023-11-01
EMP2127,3.7,4.4,3.1,3.3,3.6,Needs improvement,2023-11-01
EMP2128,4.7,3.5,4.7,3.6,4.1,Smooth process,2023-11-01
EMP2129,4.3,4.4,4.0,3.6,4.1,Smooth process,2023-11-01
EMP2130,3.4,3.1,3.6,4.3,3.6,Needs improvement,2023-11-01
EMP2131,4.9,4.7,4.5,4.6,4.7,Smooth process,2023-11-01
EMP2132,4.3,3.5,4.8,4.3,4.3,Smooth process,2023-11-01
EMP2133,4.1,3.2,3.9,3.9,3.8,Needs improvement,2023-11-01
EMP2134,4.7,4.1,3.8,5.0,4.4,Smooth process,2023-11-01
EMP2135,3.2,3.8,3.1,4.5,3.7,Needs improvement,2023-11-01
EMP2136,4.8,3.6,4.7,3.6,4.2,Smooth process,2023-11-01
EMP2137,4.8,4.5,4.6,3.0,4.2,Smooth process,2023-11-01
EMP2138,4.9,4.5,3.6,4.7,4.4,Smooth process,2023-11-01
EMP2139,3.6,4.7,3.2,4.4,4.0,Needs improvement,2023-11-01
EMP2140,4.1,3.2,3.5,3.0,3.4,Needs improvement,2023-11-01
EMP2141,3.9,3.6,4.2,3.6,3.8,Needs improvement,2023-11-01
EMP2142,3.6,4.5,3.1,4.8,4.0,Needs improvement,2023-11-01
EMP2143,4.7,4.3,4.2,4.8,4.5,Smooth process,2023-11-01
EMP2144,3.4,3.2,3.5,4.6,3.6,Needs improvement,2023-11-01
EMP2145,3.1,4.2,5.0,4.7,4.2,Smooth process,2023-11-01
EMP2146,4.0,3.1,4.7,4.2,4.0,Smooth process,2023-11-01
EMP2147,3.2,3.2,4.8,4.3,3.9,Needs improvement,2023-11-01
EMP2148,4.7,4.8,4.1,4.0,4.4,Smooth process,2023-11-01
EMP2149,3.9,3.6,3.9,4.5,4.0,Needs improvement,2023-11-01
